ID,Species,LMA,WC,LDMC,EWT
912,Quercus macrocarpa,66.6143,58.0952,41.9048,0.0092
913,Quercus macrocarpa,69.6422,40.2597,59.7403,0.0047
914,Quercus macrocarpa,43.9049,61.3333,38.6667,0.007
915,Quercus macrocarpa,42.3909,44,56,0.0033
916,Ulmus americana,68.1282,57.5472,42.4528,0.0092
917,Ulmus americana,77.212,56.4103,43.5897,0.01
918,Ulmus americana,80.2399,54.7009,45.2991,0.0097
919,Ulmus americana,68.1282,59.8214,40.1786,0.0101
920,Ulmus americana,63.5864,63.7931,36.2069,0.0112
921,Ulmus americana,81.7539,55.7377,44.2623,0.0103
922,Ulmus americana,66.6143,63.6364,36.3636,0.0117
923,Ulmus americana,81.7539,57.1429,42.8571,0.0109
924,Ulmus americana,92.3516,54.1353,45.8647,0.0109
925,Ulmus americana,83.2679,55.6452,44.3548,0.0104
926,Ulmus americana,66.6143,61.7391,38.2609,0.0107
927,Ulmus americana,72.6701,61.6,38.4,0.0117
928,Ulmus americana,52.9886,66.0194,33.9806,0.0103
929,Ulmus americana,72.6701,63.6364,36.3636,0.0127
930,Ulmus americana,87.8097,55.0388,44.9612,0.0107
931,Ulmus americana,96.8935,57.6159,42.3841,0.0132
932,Ulmus americana,60.5584,63.964,36.036,0.0107
933,Ulmus americana,60.5584,66.6667,33.3333,0.0121
934,Ulmus americana,83.2679,60.4317,39.5683,0.0127
935,Ulmus americana,101.4354,59.1463,40.8537,0.0147
936,Syringa reticulata,63.5864,55.7895,44.2105,0.008
937,Syringa reticulata,69.6422,54.4554,45.5446,0.0083
938,Syringa reticulata,54.5026,59.0909,40.9091,0.0079
939,Syringa reticulata,72.6701,55.1402,44.8598,0.0089
940,Syringa reticulata,28.7653,74.3243,25.6757,0.0083
941,Syringa reticulata,31.7932,71.6216,28.3784,0.008
942,Syringa reticulata,37.849,69.8795,30.1205,0.0088
943,Syringa reticulata,60.5584,59.596,40.404,0.0089
944,Syringa reticulata,51.4747,61.3636,38.6364,0.0082
945,Syringa reticulata,54.5026,63.2653,36.7347,0.0094
946,Syringa reticulata,63.5864,61.8182,38.1818,0.0103
947,Syringa reticulata,65.1003,55.6701,44.3299,0.0082
948,Syringa reticulata,71.1562,52.5253,47.4747,0.0079
949,Syringa reticulata,72.6701,54.717,45.283,0.0088
950,Syringa reticulata,59.0445,58.0645,41.9355,0.0082
951,Prunus virginiana,93.86558146,58.10810811,41.89189189,0.0224
952,Prunus virginiana,89.32369849,59.86394558,40.13605442,0.0223
953,Prunus virginiana,72.67012758,62.20472441,37.79527559,0.0192
954,Prunus virginiana,75.69804956,56.89655172,43.10344828,0.0176
955,Prunus virginiana,80.23993254,57.6,42.4,0.0189
956,Prunus virginiana,71.15616659,62.6984127,37.3015873,0.0191
957,Prunus virginiana,71.15616659,62.6984127,37.3015873,0.0191
958,Prunus virginiana,66.61428362,65.07936508,34.92063492,0.0191
959,Prunus virginiana,87.80973749,57.66423358,42.33576642,0.0207
960,Prunus virginiana,75.69804956,63.23529412,36.76470588,0.0206
961,Prunus virginiana,66.61428362,40.54054054,59.45945946,0.0112
962,Prunus virginiana,77.21201056,59.84251969,40.15748031,0.0192
963,Prunus virginiana,71.15616659,59.48275862,40.51724138,0.0176
964,Prunus virginiana,71.15616659,61.47540984,38.52459016,0.0185
965,Prunus virginiana,71.15616659,60.50420168,39.49579832,0.018
966,Prunus virginiana,104.4633084,28.125,71.875,0.0145
967,Prunus virginiana,102.9493474,45.6,54.4,0.0189
968,Prunus virginiana,105.9772694,38.59649123,61.40350877,0.0173
969,Prunus virginiana,96.89350344,31.91489362,68.08510638,0.0142
970,Prunus virginiana,112.0331134,44.36090226,55.63909774,0.0201
971,Acer rubrum,70.65113615,59.7826087,40.2173913,0.0176
972,Acer rubrum,66.81112315,59.7826087,40.2173913,0.0166
973,Acer rubrum,59.36920223,62.79069767,37.20930233,0.016
974,Acer rubrum,68.13315164,61.11111111,38.88888889,0.0175
975,Acer rubrum,49.96071271,59.75609756,40.24390244,0.0124
976,Acer rubrum,57.53051767,60.82474227,39.17525773,0.0147
977,Acer rubrum,54.50259569,60.86956522,39.13043478,0.0139
978,Acer rubrum,48.44675172,65.2173913,34.7826087,0.0139
979,Acer rubrum,52.98863469,61.53846154,38.46153846,0.0138
980,Acer rubrum,54.50259569,62.10526316,37.89473684,0.0144
981,Quercus macrocarpa,43.90486875,53.22580645,46.77419355,0.0094
982,Quercus macrocarpa,71.15616659,59.48275862,40.51724138,0.0176
983,Quercus macrocarpa,72.67012758,53.84615385,46.15384615,0.0157
984,Quercus macrocarpa,65.10032263,60.90909091,39.09090909,0.0167
985,Quercus macrocarpa,69.6422056,38.66666667,61.33333333,0.0114
986,Quercus macrocarpa,46.93279073,65.93406593,34.06593407,0.0138
987,Quercus macrocarpa,37.84902478,56.14035088,43.85964912,0.0086
988,Quercus macrocarpa,48.44675172,65.59139785,34.40860215,0.0141
989,Quercus macrocarpa,33.30714181,55.10204082,44.89795918,0.0074
990,Quercus macrocarpa,45.41882974,61.53846154,38.46153846,0.0118
991,Quercus macrocarpa,33.30714181,63.93442623,36.06557377,0.0092
992,Quercus macrocarpa,31.79318082,66.12903226,33.87096774,0.0094
993,Quercus macrocarpa,45.41882974,57.14285714,42.85714286,0.0106
994,Quercus macrocarpa,46.93279073,64.36781609,35.63218391,0.0132
995,Quercus macrocarpa,49.96071271,56.57894737,43.42105263,0.0115
996,Quercus macrocarpa,43.90486875,52.45901639,47.54098361,0.0092
997,Quercus macrocarpa,45.41882974,56.52173913,43.47826087,0.0104
998,Quercus macrocarpa,42.39090776,64.1025641,35.8974359,0.0118
999,Quercus macrocarpa,36.33506379,52,48,0.0076
1000,Quercus macrocarpa,42.39090776,54.09836066,45.90163934,0.0092
1001,Ulmus americana,69.6422056,60.68376068,39.31623932,0.0177
1002,Ulmus americana,72.67012758,62.5,37.5,0.0194
1003,Ulmus americana,72.67012758,61.6,38.4,0.0189
1004,Ulmus americana,54.50259569,68.14159292,31.85840708,0.0171
1005,Ulmus americana,66.61428362,61.40350877,38.59649123,0.0173
1006,Ulmus americana,52.98863469,67.88990826,32.11009174,0.0165
1007,Ulmus americana,52.98863469,66.34615385,33.65384615,0.0157
1008,Ulmus americana,51.4746737,66,34,0.0151
1009,Ulmus americana,60.55843965,64.60176991,35.39823009,0.0171
1010,Ulmus americana,56.01655668,68.90756303,31.09243697,0.018
1011,Ulmus americana,39.36298577,74.50980392,25.49019608,0.0154
1012,Ulmus americana,34.8211028,76.04166667,23.95833333,0.0145
1013,Ulmus americana,37.84902478,72.82608696,27.17391304,0.0139
1014,Ulmus americana,39.36298577,74.50980392,25.49019608,0.0154
1015,Ulmus americana,40.87694676,74.03846154,25.96153846,0.0157
1016,Ulmus americana,71.15616659,56.07476636,43.92523364,0.0162
1017,Ulmus americana,69.6422056,52.57731959,47.42268041,0.0147
1018,Ulmus americana,95.37954245,62.2754491,37.7245509,0.0253
1019,Ulmus americana,69.6422056,58.55855856,41.44144144,0.0168
1020,Ulmus americana,60.55843965,60.78431373,39.21568627,0.0154
1021,Syringa reticulata,19.68149289,73.46938776,26.53061224,0.0074
1022,Syringa reticulata,30.27921983,72.60273973,27.39726027,0.0111
1023,Syringa reticulata,22.70941487,75,25,0.0091
1024,Syringa reticulata,31.79318082,73.41772152,26.58227848,0.012
1025,Syringa reticulata,18.1675319,73.91304348,26.08695652,0.007
1026,Syringa reticulata,34.8211028,70.51282051,29.48717949,0.0118
1027,Syringa reticulata,24.22337586,77.46478873,22.53521127,0.0107
1028,Syringa reticulata,25.73733685,77.02702703,22.97297297,0.0112
1029,Syringa reticulata,43.90486875,70.10309278,29.89690722,0.0147
1030,Syringa reticulata,33.30714181,71.42857143,28.57142857,0.0117
1031,Syringa reticulata,22.70941487,74.13793103,25.86206897,0.0088
1032,Syringa reticulata,25.73733685,75.36231884,24.63768116,0.0104
1033,Syringa reticulata,42.39090776,71.71717172,28.28282828,0.015
1034,Syringa reticulata,22.70941487,76.5625,23.4375,0.0097
1035,Syringa reticulata,19.68149289,78.68852459,21.31147541,0.0092
